#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
88,Seiya Suzuki,CHC,143,616,26,77,86,7,10.80%,25.20%,0.208,0.309,0.256,0.339,0.464,0.346,124,-1.1,16.4,-10.1,2.7
89,Yandy Diaz,TBR,151,651,20,83,79,3,9.60%,14.90%,0.16,0.319,0.292,0.365,0.452,0.355,128,-1.8,19.6,-15.2,2.7
90,Kazuma Okamoto,TOR,130,560,25,66,83,2,9.40%,17.90%,0.204,0.264,0.25,0.329,0.453,0.335,116,-1.1,9.5,-2.2,2.7
91,JJ Wetherholt,STL,130,560,12,72,58,13,10.00%,16.80%,0.125,0.292,0.254,0.34,0.379,0.319,106,0.5,4.7,3.1,2.7
92,Daulton Varsho,TOR,138,595,29,80,84,9,7.70%,25.60%,0.218,0.257,0.226,0.292,0.444,0.315,102,-0.2,1.3,4.5,2.7
93,Taylor Ward,BAL,152,658,28,84,89,5,10.50%,24.30%,0.202,0.284,0.243,0.328,0.445,0.335,117,-1.6,11.4,-7.8,2.7
94,Jordan Westburg,BAL,102,441,19,61,61,4,6.40%,22.30%,0.206,0.301,0.262,0.317,0.468,0.338,119,-0.4,9.2,1.8,2.7
95,Otto Lopez,MIA,141,609,12,67,65,16,7.10%,15.00%,0.124,0.297,0.266,0.321,0.39,0.311,97,0.3,-1.7,7.2,2.6
96,Ernie Clement,TOR,149,644,13,77,71,9,4.40%,9.90%,0.127,0.283,0.271,0.306,0.398,0.305,95,-0.1,-3.6,7.0,2.6
97,Ben Rice,NYY,128,546,27,75,79,4,10.30%,21.00%,0.225,0.264,0.244,0.331,0.468,0.345,123,-1.0,13.9,-7.6,2.6
98,Jeff McNeil,ATH,134,581,13,66,64,4,8.20%,12.20%,0.147,0.291,0.271,0.342,0.418,0.331,110,-1.3,5.4,-0.3,2.6
99,Caleb Durbin,BOS,130,560,11,68,62,22,7.20%,11.00%,0.137,0.274,0.258,0.334,0.395,0.321,102,1.1,2.2,3.4,2.5
