#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
201,Trevor McDonald,SFG,4,4,0,34,8,72,7.01,2.98,0.98,0.297,70.30%,,4.19,4.22,0.4
202,George Klassen,LAA,2,3,0,18,6,45,8.21,3.78,1.23,0.295,70.90%,,4.54,4.49,0.3
203,Marcus Stroman,,3,3,0,10,10,51,6.31,3.5,1.16,0.295,69.30%,,4.71,4.7,0.3
204,Drew Thorpe,CHW,2,3,0,8,8,43,6.83,3.26,1.44,0.29,70.40%,,4.82,4.84,0.3
205,Jonah Tong,NYM,2,1,0,11,3,24,10.22,3.72,1.04,0.289,74.00%,,3.72,3.68,0.3
206,Josiah Gray,WSN,5,7,0,18,18,97,7.82,3.79,1.56,0.286,70.30%,,4.97,5.08,0.3
207,Clarke Schmidt,NYY,2,2,0,15,3,30,8.8,3.05,1.18,0.286,72.30%,,4.01,4.07,0.3
208,Quinn Mathews,STL,2,3,0,8,8,40,8.16,4.59,1.06,0.291,72.60%,,4.31,4.52,0.3
209,Caden Dana,LAA,4,6,0,13,13,69,7.92,3.94,1.47,0.291,69.60%,,4.99,4.96,0.3
210,Tanner Gordon,COL,3,4,0,30,6,57,6.52,2.05,1.69,0.306,68.00%,,5.25,4.9,0.3
211,Ryan Bergert,KCR,2,3,0,28,8,60,7.48,3.65,1.26,0.292,70.50%,,4.64,4.61,0.3
212,JR Ritchie,ATL,2,2,0,6,6,34,7.55,3.36,1.18,0.296,70.00%,,4.49,4.46,0.3
213,Martín Pérez,ATL,2,3,0,25,5,47,7.12,3.3,1.12,0.301,71.50%,,4.38,4.37,0.3
214,River Ryan,LAD,2,3,0,16,8,47,7.38,3.7,1.36,0.292,70.00%,,4.79,4.86,0.3
215,Jack Kochanowicz,LAA,4,5,0,35,10,76,5.65,3.31,1.18,0.298,67.60%,,4.97,4.92,0.2
216,Thomas White,MIA,1,1,0,5,5,24,8.91,4.36,1.08,0.291,72.60%,,4.21,4.36,0.2
217,José Urquidy,PIT,4,6,0,37,11,86,6.62,2.65,1.45,0.289,68.60%,,4.84,4.76,0.2
