"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Gurriel Jr., Lourdes",666971,2023,29,592,144,35,24,103,33,17.4,5.6,"82","5","65",".259",".444",".329",".325","69.9",8.4,18.7
"Estrada, Thairo",642731,2023,27,530,134,26,14,120,22,22.6,4.2,"49","23","63",".246",".373",".316",".293","70.3",4.8,21.5
"Robert Jr., Luis",673357,2023,25,595,144,36,38,172,30,28.9,5,"80","20","90",".256",".516",".358",".347","75.9",15.4,33.5
"Moncada, Yoán",660162,2023,28,357,87,20,11,107,20,30,5.6,"40","1","39",".253",".431",".315",".315","74.2",10.1,30.7
"Peña, Jeremy",665161,2023,25,634,152,32,10,129,43,20.3,6.8,"52","13","81",".261",".377",".310",".310","71.7",4,28.4
"Peralta, David",444482,2023,35,422,102,25,7,72,20,17.1,4.7,"55","4","47",".272",".407",".290",".312","72.1",4.9,22.5
"Mullins, Cedric",656775,2023,28,455,94,23,15,101,43,22.2,9.5,"74","19","51",".224",".359",".311",".291","71.1",6.5,24.9
"Kwan, Steven",680757,2023,25,718,171,36,5,75,70,10.4,9.7,"54","21","93",".281",".362",".313",".319","64.1",1.1,11.2
"Naylor, Josh",647304,2023,26,495,139,31,17,68,33,13.7,6.7,"97","10","52",".287",".480",".354",".345","73.2",8.2,19.8
"Carroll, Corbin",682998,2023,22,645,161,30,25,125,57,19.4,8.8,"76","54","116",".264",".445",".370",".345","73.2",7.6,21.6
"Vázquez, Christian",543877,2023,32,355,73,13,6,82,25,23.1,7,"32","1","34",".220",".325",".264",".267","66.6",3.2,26.2
"Adames, Willy",642715,2023,27,638,120,29,24,165,71,25.9,11.1,"80","5","73",".234",".435",".311",".333","72.5",12.4,31
"Thaiss, Matt",642136,2023,28,307,56,6,9,83,36,27,11.7,"31","2","32",".227",".412",".295",".332","73.3",10.4,34.2
"Stephenson, Tyler",663886,2023,26,517,113,20,13,135,47,26.1,9.1,"56","0","59",".240",".401",".305",".314","70.4",7.6,28.4
"Grossman, Robbie",543257,2023,33,420,84,23,10,98,57,23.3,13.6,"49","1","56",".221",".356",".323",".308","67.2",6.8,20.1
"Lindor, Francisco",596019,2023,29,687,153,33,31,137,66,19.9,9.6,"98","31","108",".250",".462",".346",".346","71",10.4,22.8
"Meyers, Jake",676694,2023,27,341,70,16,10,88,26,25.8,7.6,"33","5","42",".211",".357",".297",".283","69.2",6.3,27
"De La Cruz, Elly",682829,2023,21,427,91,15,13,144,35,33.7,8.2,"44","35","67",".238",".396",".305",".305","76.7",8.5,29.7
"Muncy, Max",571970,2023,32,579,102,17,36,153,85,26.4,14.7,"105","1","95",".230",".506",".344",".362","71.3",14.6,29.6
"Bethancourt, Christian",542194,2023,31,332,71,16,11,91,13,27.4,3.9,"33","1","49",".212",".376",".271",".265","72.5",7.9,36.6
"Castro, Willi",650489,2023,26,409,92,18,9,99,34,24.2,8.3,"34","33","60",".228",".365",".327",".302","72",6.8,27.9
"Edman, Tommy",669242,2023,28,528,119,25,13,84,35,15.9,6.6,"47","27","69",".259",".393",".306",".312","70.8",5,16.1
"Friedl, TJ",670770,2023,27,556,136,22,18,90,47,16.2,8.5,"66","27","73",".238",".325",".353",".290","68.6",3.2,18.4
"Cabrera, Oswaldo",665828,2023,24,330,63,11,5,72,25,21.8,7.6,"29","8","35",".208",".312",".256",".260","70.2",3.5,23.5
"Solano, Donovan",456781,2023,35,450,111,26,5,100,40,22.2,8.9,"38","0","43",".279",".430",".338",".351","68.1",6.1,25.4
"Taylor, Chris",621035,2023,32,384,80,15,15,125,41,32.6,10.7,"56","16","51",".219",".401",".323",".311","71.2",9.8,35.8
"Martinez, J.D.",502110,2023,35,479,117,27,33,149,34,31.1,7.1,"103","1","61",".265",".554",".369",".367","72.9",17.1,34.4
"Kiermaier, Kevin",595281,2023,33,408,98,21,8,86,29,21.1,7.1,"36","14","58",".256",".352",".320",".299","69.8",3.5,30.6
"Baty, Brett",683146,2023,23,389,75,12,9,109,29,28,7.5,"34","2","41",".235",".383",".266",".300","75.8",7.7,31.6
"Heim, Jonah",641680,2023,28,501,118,28,18,96,40,19.2,8,"95","2","61",".252",".438",".324",".325","68.4",8,22.5
"India, Jonathan",663697,2023,26,529,111,23,17,109,52,20.6,9.8,"61","14","78",".248",".425",".327",".338","71.3",7.7,22
"Yoshida, Masataka",807799,2023,29,580,155,33,15,81,34,14,5.9,"72","8","71",".268",".428",".339",".325","71.4",6.6,18.3
"Neto, Zach",687263,2023,22,329,65,17,9,77,20,23.4,6.1,"34","5","38",".224",".410",".302",".315","69.3",8.8,28.7
"Vargas, Miguel",678246,2023,23,304,50,15,7,61,38,20.1,12.5,"32","3","36",".208",".357",".295",".305",,6,22.3
