"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Langford, Wyatt",694671,2024,22,557,126,25,16,115,51,20.6,9.2,"74","19","74",".252",".435",".321",".332","74.5",9.3,22.9
"Reynolds, Bryan",668804,2024,29,692,171,29,24,156,57,22.5,8.2,"88","10","73",".268",".472",".343",".353","71.6",9.6,29.4
"Doyle, Brenton",686668,2024,26,603,141,24,23,153,46,25.4,7.6,"72","30","82",".249",".442",".328",".330","70.9",10.5,29.8
"Yelich, Christian",592885,2024,32,315,85,12,11,58,40,18.4,12.7,"42","21","44",".287",".473",".391",".373","73.2",7.9,23.1
"Ruiz, Keibert",660688,2024,25,485,105,21,13,54,16,11.1,3.3,"57","3","46",".250",".357",".268",".283","66.4",3.2,12.1
"Marsh, Brandon",669016,2024,26,476,104,17,16,154,50,32.4,10.5,"60","19","55",".233",".418",".326",".327","71.9",10,27.5
"Urías, Ramón",602104,2024,30,301,69,9,11,55,23,18.3,7.6,"37","1","39",".245",".437",".325",".331","70.5",8.7,26.8
"Bleday, JJ",668709,2024,26,642,139,43,20,125,67,19.5,10.4,"60","2","74",".238",".413",".330",".322","71.7",8.3,26.1
"Lopez, Nicky",670032,2024,29,445,96,12,1,67,37,15.1,8.3,"21","5","40",".227",".291",".275",".273","64.2",1.5,19.4
"Correa, Carlos",621043,2024,29,367,99,20,14,61,40,16.6,10.9,"54","0","55",".271",".458",".385",".358","74.5",9.2,20.4
"Joe, Connor",656582,2024,31,416,83,22,9,91,44,21.9,10.6,"36","2","49",".202",".311",".305",".279","72.1",4.7,25.7
"Busch, Michael",683737,2024,26,567,123,28,21,162,63,28.6,11.1,"65","2","73",".217",".432",".336",".324","70.3",11.2,28.4
"Rafaela, Ceddanne",678882,2024,23,571,134,23,15,151,15,26.4,2.6,"75","19","70",".227",".374",".286",".276","70.1",7.5,33
"Frelick, Sal",686217,2024,24,524,123,22,2,78,39,14.9,7.4,"32","18","66",".246",".309",".292",".283","66.3",0.8,12.9
"Cabrera, Oswaldo",665828,2024,25,326,74,11,8,63,21,19.3,6.4,"36","4","47",".248",".347",".290",".291","68.3",3.7,18.8
"Rooker, Brent",667670,2024,29,614,160,26,39,177,59,28.8,9.6,"112","11","82",".263",".566",".392",".381","73.7",16.6,34.1
"Rutschman, Adley",668939,2024,26,638,143,21,19,103,58,16.1,9.1,"79","1","68",".254",".405",".309",".320","69.1",6.1,17.1
"Steer, Spencer",668715,2024,26,656,129,34,20,137,72,20.9,11,"92","25","74",".234",".392",".316",".321","71.6",6.4,23.1
"Naylor, Josh",647304,2024,27,633,137,27,31,105,58,16.6,9.2,"108","6","84",".254",".451",".332",".338","72.9",8.4,22.4
"Fraley, Jake",641584,2024,29,382,97,19,5,70,26,18.3,6.8,"26","20","44",".245",".330",".314",".290","71.8",3.2,21.3
"Langeliers, Shea",669127,2024,26,534,108,18,29,145,41,27.2,7.7,"80","4","58",".237",".461",".315",".328","74.1",12.8,29.2
"Kirk, Alejandro",672386,2024,25,386,86,19,5,51,35,13.2,9.1,"54","0","23",".253",".403",".297",".329","70.1",6.7,15.7
"Cruz, Oneil",665833,2024,25,599,140,34,21,181,51,30.2,8.5,"76","22","72",".259",".475",".331",".344","78.5",15.7,34.1
"Varsho, Daulton",662139,2024,27,513,98,21,18,137,48,26.7,9.4,"58","10","73",".185",".326",".304",".265","73.7",6.2,27
"Kepler, Max",596146,2024,31,399,93,21,8,80,22,20.1,5.5,"42","1","43",".243",".384",".298",".302","71.4",6.2,24.4
"Kim, Ha-Seong",673490,2024,28,470,94,16,11,77,58,16.4,12.3,"47","22","60",".245",".359",".308",".319","69",4.8,16.1
"Siri, Jose",642350,2024,28,448,75,16,18,170,31,37.9,6.9,"47","14","50",".197",".419",".271",".299","72.5",14.7,41.9
"Pederson, Joc",592626,2024,32,449,101,17,23,105,55,23.4,12.2,"64","7","62",".259",".486",".391",".378","73.4",12.8,25
"Sánchez, Jesús",660821,2024,26,537,123,25,18,140,41,26.1,7.6,"64","16","60",".261",".480",".317",".348","75.2",12.2,31.2
"Rosario, Eddie",592696,2024,32,319,52,12,10,77,16,24.1,5,"35","9","33",".211",".353",".230",".264","70.3",5.3,27.5
"Realmuto, J.T.",592663,2024,33,413,101,18,14,102,27,24.7,6.5,"47","2","50",".264",".466",".326",".340","73.2",10.4,26.2
"Refsnyder, Rob",608701,2024,33,307,77,16,11,78,28,25.4,9.1,"40","2","32",".248",".417",".358",".327","72.8",9.7,28.1
"Smith, Will",669257,2024,29,544,118,24,20,105,51,19.3,9.4,"75","1","77",".238",".463",".326",".337","67.9",10.8,20.9
"Laureano, Ramón",657656,2024,29,309,74,16,11,96,15,31.1,4.9,"33","8","35",".229",".438",".324",".313","72.7",12.6,31.8
"Springer, George",543807,2024,34,614,120,19,19,115,60,18.7,9.8,"56","16","74",".240",".412",".298",".325","71.9",9.3,25.3
"Palacios, Richie",680700,2024,27,316,59,8,5,67,45,21.2,14.2,"21","19","46",".247",".342",".303",".325","68.9",3.5,24.7
"Conforto, Michael",624424,2024,31,488,104,27,20,118,42,24.2,8.6,"66","0","56",".254",".488",".327",".353","74.1",11.8,25.2
"McMahon, Ryan",641857,2024,29,645,137,28,20,185,69,28.7,10.7,"65","4","68",".238",".421",".315",".327","72.5",10.9,30
"Benintendi, Andrew",643217,2024,29,522,109,20,20,96,41,18.4,7.9,"64","3","50",".244",".407",".298",".310","68",6.3,21.1
"De La Cruz, Elly",682829,2024,22,696,160,36,25,218,69,31.3,9.9,"76","67","105",".237",".437",".349",".330","75.2",12.7,33.4
"Benson, Will",666181,2024,26,388,64,19,14,154,40,39.7,10.3,"43","16","41",".179",".343",".285",".272","72.1",11.5,39
"Vázquez, Christian",543877,2024,33,315,65,10,7,65,11,20.6,3.5,"27","3","29",".231",".361",".250",".272","68.3",3.8,20.8
"Thomas, Lane",657041,2024,28,528,112,26,15,137,44,25.9,8.3,"63","32","65",".240",".388",".309",".311","71.7",7.4,23.3
"O'Hearn, Ryan",656811,2024,30,494,117,21,15,69,46,14,9.3,"59","3","60",".273",".470",".330",".354","72.4",6.9,18.1
"Alonso, Pete",624413,2024,29,695,146,31,34,172,70,24.7,10.1,"88","3","91",".239",".470",".340",".345","75.2",13.2,24.7
"Moreno, Gabriel",672515,2024,24,351,81,18,5,52,41,14.8,11.7,"45","3","39",".251",".393",".325",".329","70.6",6.6,18.5
"Lowe, Josh",666139,2024,26,387,85,19,10,123,32,31.8,8.3,"34","25","37",".225",".396",".299",".297","73.3",10.3,31.9
"Jansen, Danny",643376,2024,29,324,57,13,9,61,40,18.8,12.3,"24","0","35",".198",".345",".294",".293","69",6.4,20.9
"Torres, Gleyber",650402,2024,27,665,151,26,15,136,65,20.5,9.8,"63","4","80",".240",".386",".313",".314","70.1",6.3,22.9
"Schneider, Davis",676914,2024,25,454,76,19,13,144,47,31.7,10.4,"46","6","48",".195",".367",".277",".293","69.8",12,30.6
"Hernández, Teoscar",606192,2024,31,652,160,32,33,188,53,28.8,8.1,"99","12","84",".245",".493",".360",".347","73.2",14.9,34
"Lowe, Brandon",664040,2024,29,425,94,19,21,112,33,26.4,7.8,"58","5","56",".248",".488",".335",".344","73.4",12.4,32.7
"Hayes, Ke'Bryan",663647,2024,27,396,85,9,4,75,23,18.9,5.8,"25","11","38",".244",".336",".256",".285","72.1",2.4,18.1
"Rodgers, Brendan",663898,2024,27,539,134,29,13,132,31,24.5,5.8,"54","1","67",".246",".382",".314",".299","71.7",5.6,25.9
"Rortvedt, Ben",666163,2024,26,328,66,13,3,88,34,26.8,10.4,"31","1","27",".202",".291",".283",".269","69.7",3.5,26.7
"Urshela, Gio",570482,2024,32,461,108,19,9,72,23,15.6,5,"52","0","34",".262",".400",".281",".307","68.2",4.9,20.3
"O'Hoppe, Logan",681351,2024,24,522,117,17,20,155,33,29.7,6.3,"56","2","64",".247",".462",".311",".333","70.7",12,33.6
"Smith, Dominic",642086,2024,29,307,64,22,6,76,28,24.8,9.1,"34","1","33",".216",".397",".306",".308","68.8",10.6,25.3
"Bichette, Bo",666182,2024,26,336,70,16,4,64,20,19,6,"31","5","29",".248",".377",".264",".303","70.4",4.4,22
"Renfroe, Hunter",592669,2024,32,424,88,18,15,84,36,19.8,8.5,"52","1","44",".219",".369",".302",".294","75.2",6.6,23.4
"Tatis Jr., Fernando",665487,2024,25,438,110,21,21,96,32,21.9,7.3,"49","11","64",".294",".548",".359",".390","74.7",14.5,28.1
"Walker, Christian",572233,2024,33,552,120,26,26,133,55,24.1,10,"84","2","72",".243",".470",".343",".354","75",13.3,25.6
"Giménez, Andrés",665926,2024,25,633,147,22,9,97,26,15.3,4.1,"63","30","64",".261",".362",".281",".301","68.3",2.8,22.8
"Moore, Dylan",664238,2024,31,441,74,23,10,123,53,27.9,12,"42","32","53",".196",".333",".306",".298","73",8.8,24.8
"Wood, James",695578,2024,21,336,78,13,9,97,39,28.9,11.6,"41","14","43",".265",".449",".342",".354","73.9",10.6,29.6
"Verdugo, Alex",657077,2024,28,621,130,28,13,93,49,15,7.9,"61","2","74",".247",".383",".283",".306","68.3",5.6,15.5
"Happ, Ian",664023,2024,29,657,138,34,25,168,80,25.6,12.2,"86","13","89",".240",".453",".341",".347","72.4",11.7,27.9
"Triolo, Jared",669707,2024,26,446,85,10,9,118,42,26.5,9.4,"46","8","41",".226",".347",".275",".296","70.5",5.3,27.4
"Wong, Connor",657136,2024,28,487,125,24,13,114,28,23.4,5.7,"52","8","54",".229",".362",".330",".291","72",6.3,28.8
"Freeman, Tyler",671289,2024,25,383,69,14,7,53,28,13.8,7.3,"32","11","48",".236",".345",".283",".307","71.7",3.2,16.4
"Arenado, Nolan",571448,2024,33,635,157,23,16,92,44,14.5,6.9,"71","2","70",".253",".361",".314",".299","70.7",3.2,17.2
"Suzuki, Seiya",673548,2024,29,585,145,27,21,160,63,27.4,10.8,"73","16","74",".252",".464",".365",".348","73",11.5,24.5
"Lowe, Nathaniel",663993,2024,28,565,129,16,16,125,71,22.1,12.6,"69","2","62",".250",".386",".337",".332","73.3",5.8,20.6
"Robert Jr., Luis",673357,2024,26,425,88,19,14,141,28,33.2,6.6,"35","23","47",".211",".378",".285",".283","74.6",9.9,36.1
"Morel, Christopher",666624,2024,25,611,105,11,21,159,61,26,10,"60","8","56",".222",".401",".280",".316","76.1",10.2,34.1
"Toglia, Michael",669911,2024,25,458,87,14,25,147,54,32.1,11.8,"55","10","62",".241",".514",".329",".360","73.2",17.3,34.9
"Greene, Riley",682985,2024,23,584,134,27,24,156,64,26.7,11,"74","4","82",".249",".487",".355",".355","74.7",13.4,26.8
"Dubón, Mauricio",643289,2024,29,428,108,25,4,55,16,12.9,3.7,"47","3","45",".247",".337",".286",".276","69.4",2.8,18.8
"Vaughn, Andrew",683734,2024,26,619,140,30,19,132,38,21.3,6.1,"70","2","55",".240",".442",".304",".320","70.8",9.3,22
"Drury, Brandon",592273,2024,31,360,55,7,4,81,27,22.5,7.5,"15","1","28",".201",".295",".217",".264","72.6",3.6,24.4
"Raleigh, Cal",663728,2024,27,628,120,16,34,176,70,28,11.1,"100","6","73",".229",".483",".323",".347","74.5",15.4,31
"Vientos, Mark",668901,2024,24,454,110,22,27,135,33,29.7,7.3,"71","0","58",".241",".470",".356",".333","71.8",14.1,34.4
"Ramos, Heliot",671218,2024,24,518,128,23,22,135,37,26.1,7.1,"72","6","54",".245",".484",".339",".337","75.2",14.5,28.7
"Canha, Mark",592192,2024,35,462,95,20,7,96,51,20.8,11,"42","7","46",".211",".314",".310",".293","68.4",3.3,21.8
"Vierling, Matt",663837,2024,27,567,133,28,16,121,41,21.3,7.2,"57","6","80",".252",".402",".317",".312","71.1",7.5,19.5
"Adell, Jo",666176,2024,25,451,84,15,20,126,35,27.9,7.8,"62","15","54",".222",".426",".296",".314","76.7",11.7,29.8
"Rivera, Emmanuel",656896,2024,28,302,63,9,5,69,26,22.8,8.6,"29","2","24",".248",".393",".291",".322","69.6",7.9,28.3
"Nootbaar, Lars",663457,2024,26,405,85,18,12,79,52,19.5,12.8,"45","7","39",".261",".466",".331",".358","72.6",9.9,19
"Rosario, Amed",642708,2024,28,346,93,18,3,73,9,21.1,2.6,"32","13","29",".249",".367",".299",".284","71.2",4.6,24.6
"Lux, Gavin",666158,2024,26,487,110,24,10,110,44,22.6,9,"50","5","59",".254",".390",".310",".319","71.2",6,23.3
"Swanson, Dansby",621020,2024,30,593,129,27,16,144,54,24.3,9.1,"66","19","82",".241",".423",".307",".324","71.7",9.2,28.7
"Rodríguez, Julio",677594,2024,23,613,155,17,20,156,38,25.4,6.2,"68","24","76",".274",".472",".321",".348","76.3",10.2,30.9
"Meneses, Joey",608841,2024,32,313,65,11,3,63,21,20.1,6.7,"42","2","19",".221",".341",".264",".283","70.4",4.5,22.9
"Solano, Donovan",456781,2024,36,309,81,13,8,65,22,21,7.1,"35","2","31",".256",".391",".333",".313","67.1",3.7,23.5
"Pages, Andy",681624,2024,23,443,100,23,13,108,29,24.4,6.5,"46","1","65",".247",".433",".310",".324","73.1",10.7,26.1
"Profar, Jurickson",595777,2024,31,668,158,29,24,101,76,15.1,11.4,"85","10","94",".279",".451",".365",".366","71.7",7.2,17
"Perez, Salvador",521692,2024,34,652,160,28,27,129,44,19.8,6.7,"104","0","58",".271",".530",".335",".361","73.2",12.2,27.8
"Duvall, Adam",594807,2024,35,330,55,10,11,99,21,30,6.4,"30","0","29",".195",".392",".252",".284","72.4",10.7,27.7
"Torkelson, Spencer",679529,2024,24,381,75,21,10,105,33,27.6,8.7,"37","0","45",".209",".358",".295",".286","73.6",6.7,26.6
"Cronenworth, Jake",630105,2024,30,656,139,29,17,118,61,18,9.3,"83","5","72",".257",".431",".315",".339","69.5",7.8,17.1
"Goldschmidt, Paul",502671,2024,36,654,147,33,22,173,47,26.5,7.2,"65","11","70",".252",".462",".310",".332","72.5",10.7,27.4
"Mountcastle, Ryan",663624,2024,27,507,128,30,13,114,27,22.5,5.3,"63","3","54",".271",".455",".316",".336","75.1",8.8,25.1
"McCarthy, Jake",664983,2024,26,495,126,13,8,78,31,15.8,6.3,"56","25","66",".265",".363",".329",".314","67.3",2.7,17.6
"De La Cruz, Bryan",650559,2024,27,622,136,25,21,170,29,27.3,4.7,"68","5","61",".241",".431",".283",".306","71.8",9.3,30.1
"Tovar, Ezequiel",678662,2024,22,695,176,45,26,200,23,28.8,3.3,"78","6","83",".231",".410",".324",".291","71.3",9,33.5
"Bailey, Patrick",672275,2024,25,448,94,16,8,100,39,22.3,8.7,"46","4","46",".255",".404",".281",".322","71.3",5.5,23.4
"Fitzgerald, Tyler",666149,2024,26,341,88,19,15,108,22,31.7,6.5,"34","17","53",".226",".383",".357",".293","70.5",8.2,31.2
"McCutchen, Andrew",457705,2024,37,515,104,18,20,133,58,25.8,11.3,"50","3","66",".219",".421",".325",".325","72.7",12,28.9
"Guerrero Jr., Vladimir",665489,2024,25,697,199,44,30,96,72,13.8,10.3,"103","2","98",".316",".578",".398",".412","75.9",13.7,21.5
"Tauchman, Mike",643565,2024,33,350,74,12,7,70,47,20,13.4,"29","6","50",".237",".392",".325",".332","69.3",7.4,22.5
"Díaz, Elias",553869,2024,33,351,86,20,6,69,20,19.7,5.7,"39","0","27",".237",".342",".303",".281","73.9",4.7,27.8
"Seager, Corey",608369,2024,30,533,132,21,30,96,53,18,9.9,"74","1","68",".280",".573",".365",".391","72.3",15.2,23.4
"Winker, Jesse",608385,2024,30,508,109,23,14,106,63,20.9,12.4,"58","14","63",".243",".388",".338",".330","69.5",7.6,19.6
"Rocchio, Brayan",677587,2024,23,442,79,18,8,90,44,20.4,10,"36","10","50",".210",".308",".276",".279","69.5",4,24.3
"Yastrzemski, Mike",573262,2024,33,474,99,16,18,124,38,26.2,8,"57","3","60",".217",".406",".319",".304","70.9",10.5,26.1
"Abreu, Wilyer",677800,2024,25,447,101,33,15,125,40,28,8.9,"58","8","59",".229",".433",".336",".324","74.6",11.1,29.6
"Heim, Jonah",641680,2024,29,491,101,12,13,90,26,18.3,5.3,"59","1","45",".226",".365",".265",".281","70.3",5.9,20.7
"Volpe, Anthony",683011,2024,23,689,155,27,12,156,42,22.6,6.1,"60","28","90",".232",".335",".287",".278","69.3",3.9,22.6
"Harper, Bryce",547180,2024,31,631,157,42,30,138,76,21.9,12,"87","7","85",".264",".486",".380",".361","74",10.6,26.7
"Fry, David",681807,2024,28,392,88,18,14,84,42,21.4,10.7,"51","4","44",".247",".408",".347",".332","70.5",7.5,24.8
"García, Adolis",666969,2024,31,637,130,27,25,177,45,27.8,7.1,"85","11","68",".223",".422",".296",".309","72",12.5,34.3
"Turner, Justin",457759,2024,39,539,119,24,11,95,59,17.6,10.9,"55","0","59",".251",".394",".327",".333","65.1",4.6,17
"Brennan, Will",686823,2024,26,353,87,13,8,48,19,13.6,5.4,"30","4","37",".267",".381",".303",".306","69",4.6,18.1
"Blackmon, Charlie",453568,2024,37,499,115,24,12,86,43,17.2,8.6,"52","6","59",".246",".374",".323",".309","67.4",5.2,19.2
"Haniger, Mitch",571745,2024,33,423,79,12,12,126,40,29.8,9.5,"44","0","42",".214",".380",".277",".298","72.9",9,32.3
"Polanco, Jorge",593871,2024,30,469,89,11,16,137,46,29.2,9.8,"45","4","43",".224",".406",".287",".310","69.7",8.9,28.1
"Schwarber, Kyle",656941,2024,31,692,142,22,38,197,106,28.5,15.3,"104","5","110",".252",".522",".366",".382","77.5",15.6,32
"Rojas, Josh",668942,2024,30,476,95,19,8,108,46,22.7,9.7,"31","10","48",".221",".361",".286",".297","66.6",5.7,24.4
"Stanton, Giancarlo",519317,2024,34,459,97,20,27,143,38,31.2,8.3,"72","0","49",".243",".520",".330",".354","81.2",20.7,34.4
"Castellanos, Nick",592206,2024,32,659,154,30,23,139,41,21.1,6.2,"86","6","80",".268",".454",".321",".337","71.9",8.1,30.1
"Alvarez, Francisco",682626,2024,22,342,73,14,11,86,30,25.1,8.8,"47","1","39",".218",".372",".310",".297","73.5",6.7,29.6
"Pham, Tommy",502054,2024,36,478,109,20,9,106,35,22.2,7.3,"39","7","49",".260",".413",".297",".321","72.6",7.2,22.5
"O'Neill, Tyler",641933,2024,29,473,99,18,31,159,53,33.6,11.2,"61","4","74",".211",".489",".360",".340","75.2",17.3,34.1
"Clement, Ernie",676391,2024,28,452,114,21,12,41,11,9.1,2.4,"51","12","48",".255",".384",".297",".289","66.8",3.8,14.4
"Ozuna, Marcell",542303,2024,33,688,183,31,39,170,74,24.7,10.8,"104","1","96",".283",".583",".395",".404","74",15.5,31.4
"Tucker, Kyle",663656,2024,27,339,80,13,23,54,56,15.9,16.5,"49","11","56",".275",".546",".419",".402","72.2",12.9,19
"Jiménez, Eloy",650391,2024,27,349,77,14,6,70,22,20.1,6.3,"23","3","25",".243",".386",".276",".302","73.9",7.8,26.2
"Westburg, Jordan",676059,2024,25,447,110,26,18,97,22,21.7,4.9,"63","6","57",".275",".499",".340",".355","71",11.8,29.3
"Horwitz, Spencer",687462,2024,26,381,87,19,12,70,42,18.4,11,"40","0","46",".250",".427",".344",".340","69.5",8,19.4
"Andujar, Miguel",609280,2024,29,319,86,14,4,42,13,13.2,4.1,"30","3","31",".257",".344",".306",".287","71.6",2.7,16
"Arraez, Luis",650333,2024,27,672,200,32,4,29,24,4.3,3.6,"46","9","83",".310",".408",".323",".330","63.1",1.6,6.9
"Merrifield, Whit",593160,2024,35,335,65,9,4,52,35,15.5,10.4,"15","17","44",".242",".323",".283",".300","63.4",2.4,18.7
"Newman, Kevin",621028,2024,30,311,80,17,3,48,15,15.4,4.8,"28","8","41",".257",".326",".298",".275","67.6",1.6,17.3
"Arozarena, Randy",668227,2024,29,648,120,33,20,169,73,26.1,11.3,"60","20","77",".213",".381",".320",".322","72.7",8.3,29.7
"Gonzales, Nick",693304,2024,25,387,97,19,7,74,18,19.1,4.7,"49","5","42",".269",".415",".307",".322","71.1",7.9,24.9
"Donovan, Brendan",680977,2024,27,652,163,34,14,81,47,12.4,7.2,"73","5","65",".275",".432",".332",".341","69.6",5.5,15.1
"Díaz, Yandy",650490,2024,32,621,158,31,14,95,50,15.3,8.1,"65","0","55",".273",".432",".331",".339","73.3",7.6,14.2
"Rogers, Jake",668670,2024,29,337,61,16,10,99,22,29.4,6.5,"36","1","43",".215",".420",".264",".299","70.7",9.9,32.7
"Crawford, J.P.",641487,2024,29,451,79,16,9,102,52,22.6,11.5,"37","5","55",".226",".370",".283",".312","71.9",6.5,20.2
"Amaya, Miguel",665804,2024,25,363,76,13,8,62,23,17.1,6.3,"47","0","32",".249",".377",".283",".302","72.9",4.7,22.5
"Contreras, William",661388,2024,26,679,167,37,23,139,78,20.5,11.5,"92","9","99",".265",".476",".359",".359","74.7",10,27.8
"Julien, Edouard",666397,2024,25,301,53,9,8,102,33,33.9,11,"21","6","36",".193",".355",".278",".288","71.9",9.8,30.9
"Turang, Brice",668930,2024,24,619,142,24,7,105,50,17,8.1,"57","50","72",".261",".346",".294",".302","66.2",2.4,13.8
"Martinez, J.D.",502110,2024,36,495,102,24,16,141,49,28.5,9.9,"69","0","46",".252",".480",".318",".353","73",14.9,31.5
"Crow-Armstrong, Pete",691718,2024,22,410,88,13,10,98,21,23.9,5.1,"47","27","46",".221",".377",".289",".286","70.6",7.4,29.9
"Turner, Trea",607208,2024,31,539,149,25,21,98,27,18.2,5,"62","19","88",".263",".430",".349",".323","71.6",6.9,26.1
"Lee, Korey",686676,2024,25,394,79,14,12,122,17,31,4.3,"37","6","36",".209",".342",".257",".258","71.4",7.5,37.1
"Machado, Manny",592518,2024,31,643,163,30,29,124,45,19.3,7,"105","11","77",".266",".467",".340",".340","75.2",11,24.4
"Jeffers, Ryan",680777,2024,27,465,93,22,21,94,32,20.2,6.9,"64","3","56",".224",".394",".317",".307","72.9",8.3,23.6
"Freeman, Freddie",518692,2024,34,638,153,35,22,100,78,15.7,12.2,"89","9","81",".272",".475",".365",".369","69.8",9.1,20.2
"Abrams, CJ",682928,2024,23,602,133,29,20,128,40,21.3,6.6,"65","31","79",".243",".413",".322",".320","72.2",6.9,24.7
