Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Jun","Yusei Kikuchi","TOR",6,122,6.25609756,35,4,0,20,19,7,8,0,0,32,0.315315315,0.358333333,0.54054054,0.38365970849990844,20633
2024,"Jun","Cristopher Sanchez","PHI",5,116,1.63636364,23,2,1,7,6,0,4,0,0,23,0.207207207,0.23275862,0.243243243,0.2111167013645172,20778
2024,"Jun","Luis Gil","NYY",5,104,6.44776119,22,9,0,16,16,3,14,0,3,20,0.252873563,0.375,0.459770114,0.3660034795220082,21052
2024,"Jun","Bailey Ober","MIN",5,120,3.19354839,22,5,1,11,11,4,11,0,0,34,0.201834862,0.275,0.376146788,0.28517957975467045,21224
2024,"Jun","Tylor Megill","NYM",5,111,7.43478261,27,6,1,20,19,3,13,0,2,29,0.28125,0.378378378,0.458333333,0.36624850131369924,21318
2024,"Jun","Joe Ryan","MIN",6,148,3.68181818,31,5,2,16,15,8,6,0,2,37,0.223021582,0.263513513,0.460431654,0.3076451026104592,21390
2024,"Jun","Ryan Feltner","COL",5,118,6.58536585,32,5,1,26,20,4,5,0,2,26,0.288288288,0.330508474,0.459459459,0.3419004774699777,21446
2024,"Jun","Jake Irvin","WSN",6,137,2.31428571,27,6,1,9,9,4,12,0,0,32,0.219512195,0.286764705,0.382113821,0.2918527152608423,21504
2024,"Jun","Hogan Harris","OAK",5,108,3.19736842,26,3,1,11,9,4,8,0,1,16,0.262626262,0.324074074,0.434343434,0.3301455682074582,21520
2024,"Jun","Daniel Lynch IV","KCR",1,24,18,6,3,0,8,8,1,4,0,2,4,0.333333333,0.5,0.666666666,0.49055324494838715,21537
2024,"Jun","Luis Medina","OAK",6,135,4.8,30,8,0,17,16,2,15,1,1,22,0.256410256,0.34074074,0.376068376,0.3144554304542826,21649
2024,"Jun","Javier Assad","CHC",4,91,5.49152542,24,7,1,12,12,4,7,0,3,18,0.303797468,0.382022471,0.569620253,0.40600556202149124,21741
2024,"Jun","Braxton Garrett","MIA",3,62,6.75,18,5,0,12,10,3,1,0,1,13,0.3,0.322580645,0.533333333,0.3652821586978051,21844
2024,"Jun","Cole Ragans","KCR",6,144,3.28037383,28,7,0,13,13,4,12,0,1,43,0.215384615,0.286713286,0.361538461,0.2864224485584072,21846
2024,"Jun","Kyle Tyler","MIA",2,36,3.11538461,7,2,0,3,3,1,5,0,1,6,0.233333333,0.361111111,0.4,0.34031088484658134,22092
2024,"Jun","Jose Soriano","LAA",2,50,1.92857143,11,1,0,4,3,1,3,0,0,6,0.239130434,0.285714285,0.326086956,0.27156828130994526,22100
2024,"Jun","Hunter Greene","CIN",6,145,4.95918367,24,4,1,18,18,5,16,0,7,38,0.198347107,0.324137931,0.371900826,0.31218712864250975,22182
2024,"Jun","Tobias Myers","MIL",5,118,1.43617021,20,2,0,5,5,2,8,0,1,24,0.185185185,0.247863247,0.259259259,0.23033097106167394,22191
2024,"Jun","MacKenzie Gore","WSN",5,125,5.12658228,32,5,1,18,15,2,11,0,4,27,0.296296296,0.379032258,0.416666666,0.35148083827187937,22201
